600,650,700,750,800,850,900,950,1000
1869,2889,3705,4048,4132,4291,4319,4314,4380
1890,2975,3749,4005,4236,4191,4338,4286,4406
1901,3024,3699,3928,4125,4263,4231,4360,4366
1891,2929,3667,4028,4249,4189,4241,4352,4286
1912,2845,3539,3972,4183,4174,4323,4409,4391
1927,2931,3662,3960,4083,4111,4196,4336,4308
1901,2886,3709,4002,4102,4200,4287,4306,4287
1923,2865,3661,4031,4102,4164,4317,4264,4318
1934,2946,3661,4067,4075,4153,4214,4332,4332
1864,2817,3587,3932,4068,4220,4156,4307,4296
1823,2844,3690,4087,4131,4094,4273,4309,4390
1833,2939,3663,3920,4181,4095,4242,4216,4274
